miRNA,lncRNA
hsa-miR-421,PINK1-AS
hsa-miR-1267,SNHG16
hsa-miR-421,SNHG16
hsa-miR-421,CTD-2369P2.2
hsa-miR-421,ZFAS1
hsa-miR-573,ZFAS1
hsa-miR-421,LINC00086
hsa-miR-4705,HNRNPU-AS1
hsa-miR-3687,MLLT4-AS1
hsa-miR-1299,C1orf132
hsa-miR-421,SNHG5
hsa-miR-421,LINC00963
hsa-miR-421,ATP6V0E2-AS1
hsa-miR-4705,RP11-15H20.6
hsa-miR-1299,MEG3
hsa-miR-4705,MEG3
hsa-miR-1299,SNHG14
hsa-miR-421,FGD5-AS1
hsa-miR-1267,RP11-258F22.1
hsa-miR-421,LINC00511
hsa-miR-421,TP73-AS1
hsa-miR-421,RP11-98I9.4
hsa-miR-4705,AC007038.7
hsa-miR-4705,RP5-1112D6.4
hsa-miR-3609,CTB-89H12.4
hsa-miR-421,CTB-89H12.4
hsa-miR-3687,TRAF3IP2-AS1
hsa-miR-421,KB-318B8.7
hsa-miR-1299,AC034220.3
hsa-miR-3687,SNHG7
hsa-miR-4705,BMS1P20
hsa-miR-3609,MIR600HG
hsa-miR-3687,LINC00959
hsa-miR-3687,LINC00893
hsa-miR-1267,AC007566.10
hsa-miR-421,RP5-894A10.2
hsa-miR-1267,NEAT1
hsa-miR-1299,NEAT1
hsa-miR-3609,NEAT1
hsa-miR-421,NEAT1
hsa-miR-4705,NEAT1
hsa-miR-573,NEAT1
hsa-miR-621,NEAT1
hsa-miR-421,SNHG6
hsa-miR-1299,CTD-2366F13.1
hsa-miR-1299,CTC-428G20.3
hsa-miR-1267,RP11-319G6.1
hsa-miR-4705,ZBED3-AS1
hsa-miR-421,THAP9-AS1
hsa-miR-1267,MALAT1
hsa-miR-3687,MALAT1
hsa-miR-421,MALAT1
hsa-miR-4705,MALAT1
hsa-miR-573,MALAT1
hsa-miR-621,MALAT1
hsa-miR-1267,SCARNA15
hsa-miR-421,TUG1
hsa-miR-4705,TUG1
hsa-miR-1299,CTB-131B5.5
hsa-miR-421,PDXDC2P
hsa-miR-1299,RP11-627G23.1
hsa-miR-421,SNHG1
hsa-miR-4705,SNHG1
hsa-miR-4705,MEG8
hsa-miR-1299,CTD-2298J14.2
hsa-miR-1267,RPPH1
hsa-miR-4705,RP11-156E6.1
hsa-miR-573,CASC7
hsa-miR-1255a,RP11-553L6.5
hsa-miR-421,RP11-469M7.1
hsa-miR-1299,LINC00657
hsa-miR-421,LINC00657
hsa-miR-4705,LINC00657
hsa-miR-1299,RP11-452L6.5
hsa-miR-1267,RP11-384K6.6
hsa-miR-3687,RP4-561L24.3
hsa-miR-3609,RP11-226L15.5
hsa-miR-3687,GS1-358P8.4
hsa-miR-421,RP11-531A24.3
hsa-miR-4705,RP11-690D19.3
hsa-miR-1267,RP11-690I21.2
hsa-miR-1299,RP11-517C16.2
hsa-miR-4705,RP6-24A23.7
hsa-miR-1267,RP5-1050D4.5
hsa-miR-573,LINC00909
hsa-miR-1299,RP11-712P20.2
hsa-miR-4705,CTC-444N24.11
hsa-miR-4705,FENDRR
hsa-miR-421,RP11-145M9.4
hsa-miR-1299,KCNQ1OT1
hsa-miR-4705,KCNQ1OT1
hsa-miR-621,SNHG8
hsa-miR-1299,RP5-935K16.1
hsa-miR-421,RP11-342K6.1
hsa-miR-1299,RP11-379H18.1
hsa-miR-1299,RP11-383J24.6
hsa-miR-1299,RP11-348P10.2
hsa-miR-3687,RP11-182L21.6
hsa-miR-4705,U91328.19
hsa-miR-1299,RP11-485G4.2
hsa-miR-573,LINC00938
hsa-miR-3687,RP11-216L13.19
hsa-miR-421,RP11-216L13.19
hsa-miR-4705,AC144652.1
hsa-miR-1299,FAM211A-AS1
hsa-miR-421,FAM211A-AS1
hsa-miR-1299,SNHG10
hsa-miR-1255a,BCYRN1
hsa-miR-3609,GAS5
hsa-miR-4477b,LINC00461
hsa-miR-1255a,OIP5-AS1
hsa-miR-4705,OIP5-AS1
hsa-miR-1299,RP11-175O19.4
hsa-miR-568,RP11-469M7.1
hsa-miR-3167,RP6-24A23.7
hsa-miR-3609,RP6-24A23.7
hsa-miR-3167,GAS5
hsa-miR-3167,MIR181A1HG
hsa-miR-3167,RP11-439E19.10
hsa-miR-3167,KCNQ1OT1
hsa-miR-3167,SBF2-AS1
hsa-miR-3167,MALAT1
hsa-miR-3167,CTD-2555O16.2
hsa-miR-3167,RP11-473I1.10
hsa-miR-3167,AC009120.6
hsa-miR-3167,PITPNA-AS1
hsa-miR-3167,LINC00667
hsa-miR-3167,LINC00883
hsa-miR-3167,AC131025.8
hsa-miR-3167,CTB-89H12.4
hsa-miR-3167,HCG18
hsa-miR-3167,AF131215.9
hsa-miR-3167,SNHG12
hsa-miR-3167,C1orf132
hsa-miR-3167,KCTD21-AS1
hsa-miR-3167,RP11-611O2.5
hsa-miR-3167,DHRS4-AS1
hsa-miR-3167,OIP5-AS1
hsa-miR-3167,CTD-3185P2.1
hsa-miR-3167,COX10-AS1
hsa-miR-3167,CTD-2047H16.4
hsa-miR-3167,AD000090.2
hsa-miR-3167,AC084219.4
hsa-miR-3167,CTC-273B12.6
hsa-miR-3167,LINC00116
hsa-miR-3167,BX322557.10
hsa-miR-3167,TUG1
hsa-miR-3167,NDUFA6-AS1
hsa-miR-3167,FGD5-AS1
hsa-miR-3167,ZNF718
hsa-miR-3167,CTC-228N24.3
hsa-miR-3167,LINC00472
hsa-miR-3167,AC004893.11
hsa-miR-3167,CASC7
hsa-miR-3167,RP11-10J21.4
hsa-miR-3167,SLC25A5-AS1
hsa-miR-421,SAPCD1-AS1
