,#Shared miRNAs,#lncRNAs,#mRNAs,#Predicted lncRNA-related miRNA sponge interactions,#Predicted miRNA-lncRNA,#Predicted miRNA-mRNA,#Putative miRNA-lncRNA,#Putative miRNA-mRNA
M1,5,78,421,32838,390,2105,8,65
M2,7,213,1624,345912,1491,11368,13,279
M3,5,25,553,13825,125,2765,8,89
M4,8,299,331,98969,2392,2648,23,48
M5,5,73,600,43800,365,3000,5,90
M6,5,107,1189,127223,535,5945,6,109
M7,4,68,404,27472,272,1616,5,13
M8,3,70,766,53620,210,2298,7,121
M9,3,12,184,2208,36,552,4,24
M10,5,532,361,192052,2660,1805,12,25
